Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
157,66.04,0.57,0.8,37.72,21.14,58.34,9.54
158,54.39,0.44,0.8,57.07,21.22,45.59,11.52
159,56.96,0.55,0.8,53.03,23.54,47.9,11.52
160,66.88,0.45,0.8,36.74,20.68,-104.37,2.79
161,69.99,0.5,0.8,48.29,15.04,-357.56,1.37
162,54.62,0.38,0.8,66.87,28.32,45.83,11.52
163,58.31,0.56,0.8,56.4,23.48,49.1,11.52
164,51.77,0.46,0.8,65.6,22.84,43.24,11.52
165,60.42,0.42,0.8,49.42,16.13,50.93,11.52
166,55.28,0.54,0.8,53.21,21.2,46.36,11.52
167,65.01,0.57,0.8,44.95,20.34,56.78,10.5
168,54.54,0.58,0.8,57.68,25.06,45.76,11.52
169,62.99,0.6,0.8,53.13,22.15,53.22,11.52
170,61.92,0.44,0.8,49.45,24.23,53.47,10.62
171,64.24,0.58,0.8,52.22,21.82,54.37,11.52
172,66.72,0.35,0.8,51.01,11.69,58.81,6.33
173,58.03,0.52,0.8,55.62,23.89,48.81,11.52
174,60.4,0.45,0.8,45.31,21.45,50.93,11.52
175,68.13,0.51,0.8,35.85,18.55,-104.48,2.8
176,64.21,0.39,0.8,43.17,21.91,-10.4,4.1
177,67.3,0.35,0.8,60.54,21.5,-1104.55,-0.18
178,56.47,0.52,0.8,55.77,19.01,47.44,11.52
179,63.46,0.64,0.8,48.27,26.18,53.69,11.52
180,57.58,0.42,0.8,47.71,21.09,48.44,11.52
181,62.9,0.54,0.8,48.91,16.37,53.19,11.52
182,56.49,0.47,0.8,47.09,19.51,47.44,11.52
183,58.62,0.47,0.8,61.57,25.27,49.33,11.52
184,62.89,0.49,0.8,48.11,18.46,53.16,11.52
185,60.02,0.52,0.8,53.29,22.47,50.61,11.52
186,53.77,0.46,0.8,63.11,25.17,45.04,11.52
187,57.49,0.55,0.8,57.99,23.68,48.34,11.52
188,59.23,0.48,0.8,60.31,21.25,49.92,11.52
189,57.76,0.49,0.8,49.38,24.82,48.6,11.52
190,56.09,0.48,0.8,64.78,22.87,47.11,11.52
191,66.56,0.52,0.8,53.86,17.67,58.71,7.56
192,54.1,0.37,0.8,73.23,20.9,45.34,11.52
193,71.39,0.74,0.8,37.38,28.94,-111.86,2.7
194,60.18,0.53,0.8,59.53,21.24,50.74,11.52
195,63.97,0.54,0.8,58.94,20.27,54.12,11.51
196,54.39,0.47,0.8,55.18,23.12,45.58,11.52
197,54.95,0.46,0.8,57.61,20.01,46.12,11.52
198,57.17,0.57,0.8,54.8,21.48,48.08,11.52
199,60.97,0.52,0.8,41.58,21.75,51.42,11.52
200,59.75,0.57,0.8,45.73,19.34,50.34,11.52
201,53.21,0.41,0.8,54.65,23.63,44.57,11.52
202,64.99,0.54,0.8,58.0,22.76,57.38,9.99
203,61.82,0.54,0.8,40.56,20.56,52.21,11.52
204,61.97,0.35,0.8,53.51,16.85,52.92,11.12
205,53.4,0.44,0.8,67.49,21.18,44.69,11.52
206,58.5,0.57,0.8,55.42,24.85,49.26,11.52
207,57.87,0.4,0.8,50.91,22.51,48.72,11.52
208,61.68,0.52,0.8,62.16,21.07,52.09,11.52
209,60.23,0.42,0.8,60.51,16.14,50.76,11.52
210,58.23,0.57,0.8,53.8,25.96,48.99,11.52
211,58.04,0.41,0.8,60.36,15.65,48.82,11.52
212,60.87,0.4,0.8,55.13,19.8,51.39,11.52
213,57.05,0.46,0.8,63.16,20.79,47.95,11.52
214,56.73,0.25,0.8,82.81,19.0,47.67,11.52
215,63.21,0.6,0.8,68.45,26.22,53.43,11.52
216,62.8,0.46,0.8,30.69,20.4,55.57,9.93
217,62.72,0.51,0.8,47.73,20.32,52.99,11.52
218,58.89,0.4,0.8,54.92,21.77,49.58,11.52
219,55.24,0.4,0.8,53.28,17.81,46.36,11.52
220,68.27,0.54,0.8,58.31,23.97,-574.82,0.76
221,57.87,0.36,0.8,72.16,19.17,48.71,11.52
222,56.34,0.49,0.8,51.26,24.14,47.33,11.52
223,54.34,0.45,0.8,66.59,21.44,45.53,11.52
224,64.27,0.58,0.8,50.35,22.32,54.36,11.52
225,60.4,0.39,0.8,40.68,19.79,50.97,11.52
226,69.96,0.44,0.8,56.75,16.64,-1156.77,-0.18
227,56.37,0.42,0.8,54.4,22.58,47.38,11.52
228,51.99,0.51,0.8,60.19,27.27,43.47,11.52
229,56.09,0.52,0.8,63.09,23.84,47.1,11.52
230,63.08,0.44,0.8,51.27,21.09,55.74,9.97
231,60.03,0.51,0.8,56.19,19.21,50.62,11.52
232,64.67,0.52,0.8,68.02,27.89,57.19,6.64
233,54.31,0.47,0.8,55.42,22.44,45.51,11.52
234,63.2,0.6,0.8,42.17,22.41,53.45,11.52
235,60.9,0.52,0.8,59.08,22.74,51.38,11.52
236,58.55,0.54,0.8,61.9,22.36,49.31,11.52
237,62.4,0.55,0.8,35.64,24.44,52.2,11.76
238,54.83,0.39,0.8,64.32,16.73,45.96,11.52
239,65.47,0.5,0.8,54.74,17.35,57.84,9.08
240,58.67,0.42,0.8,62.52,21.36,49.41,11.52
241,67.34,0.41,0.8,43.9,19.44,-469.61,1.0
242,69.89,0.47,0.8,51.56,17.62,-1162.4,-0.17
