Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
189,48.61,0.65,0.8,88.85,21.95,40.47,11.52
190,26.56,0.67,0.8,65.34,17.97,20.86,11.52
191,46.76,0.7,0.8,71.2,15.45,38.81,11.52
192,51.05,0.78,0.8,86.42,15.3,42.65,11.52
193,38.73,0.66,0.8,56.89,14.04,31.71,11.52
194,72.62,0.47,0.8,33.53,12.3,-1105.82,-0.17
195,40.05,0.67,0.8,48.8,9.63,32.85,11.52
196,71.3,0.47,0.8,37.39,13.66,-1142.12,-0.22
197,41.0,0.6,0.8,56.73,16.01,33.69,11.52
198,70.51,0.48,0.8,39.52,13.63,-1262.64,-0.01
199,67.64,0.47,0.8,49.36,22.77,-381.31,1.28
200,39.16,0.57,0.8,71.35,21.96,32.08,11.52
201,74.33,0.46,0.8,99.06,29.33,-1089.28,-0.26
202,31.57,0.46,0.8,52.86,23.36,25.32,11.52
203,57.85,0.3,0.8,84.69,35.01,51.06,8.62
204,26.71,0.57,0.8,38.4,13.42,20.99,11.52
205,72.03,0.36,0.8,33.76,5.87,-706.8,0.47
206,28.59,0.74,0.8,43.18,7.97,22.63,11.52
207,43.5,0.64,0.8,59.35,13.74,35.94,11.52
208,66.04,0.47,0.8,54.46,26.24,-1202.81,-0.05
209,66.27,0.32,0.8,51.51,15.35,18.8,4.73
210,67.77,0.32,0.8,47.08,13.64,-511.53,0.89
211,42.97,0.73,0.8,62.37,10.74,35.45,11.52
212,14.58,0.67,0.8,32.77,10.67,10.24,11.52
213,26.22,0.53,0.8,29.99,13.76,20.58,11.52
214,17.11,0.76,0.8,31.43,5.46,12.49,11.52
215,66.33,0.38,0.8,51.55,16.51,-128.92,2.62
216,70.67,0.49,0.8,38.93,12.99,-786.93,0.28
217,66.59,0.41,0.8,50.68,15.88,58.86,6.65
218,44.87,0.37,0.8,63.02,27.31,37.15,11.52
219,39.39,0.66,0.8,62.13,15.39,32.29,11.52
220,71.79,0.43,0.8,35.44,10.66,-1126.32,-0.13
221,67.53,0.45,0.8,74.16,23.62,-1168.6,-0.14
222,41.75,0.55,0.8,49.03,15.45,34.35,11.52
223,49.24,0.58,0.8,56.4,16.04,41.0,11.52
224,41.02,0.66,0.8,69.76,17.83,33.71,11.52
225,69.32,0.3,0.8,41.65,8.04,-66.22,3.18
226,67.14,0.32,0.8,49.12,15.13,-1250.63,-0.06
227,68.38,0.43,0.8,45.76,15.49,-87.81,2.96
228,69.8,0.33,0.8,40.57,9.19,-559.38,0.79
229,44.48,0.62,0.8,68.15,18.52,36.82,11.52
230,44.22,0.56,0.8,40.53,10.88,36.58,11.52
231,49.55,0.61,0.8,62.5,16.33,41.27,11.52
232,51.64,0.57,0.8,59.55,17.22,43.15,11.52
233,69.34,0.54,0.8,45.06,24.36,-1128.66,-0.23
234,40.2,0.45,0.8,70.78,26.86,33.01,11.52
235,39.22,0.78,0.8,73.07,13.34,32.12,11.52
236,43.05,0.59,0.8,59.65,16.33,35.51,11.52
237,30.77,0.45,0.8,44.62,20.13,24.58,11.52
238,23.66,0.66,0.8,42.43,12.01,18.26,11.52
239,51.39,0.88,0.8,56.97,1.38,42.92,11.52
240,24.88,0.76,0.8,42.4,6.79,19.35,11.52
241,60.95,0.43,0.8,82.89,28.94,51.41,11.52
242,70.38,0.61,0.8,84.35,18.36,-70.59,3.12
243,68.43,0.41,0.8,45.5,14.94,-682.22,0.5
244,68.91,0.43,0.8,44.74,17.42,-1289.76,-0.05
245,75.34,0.49,0.8,26.45,13.69,-1092.11,-0.33
246,63.16,0.22,0.8,59.7,14.01,55.61,8.57
247,66.02,0.28,0.8,51.7,13.03,-39.88,3.6
248,46.25,0.71,0.8,69.12,13.74,38.34,11.52
249,67.86,0.4,0.8,47.12,15.27,-134.32,2.56
250,60.13,0.45,0.8,93.57,31.26,50.72,11.52
251,69.68,0.39,0.8,42.22,15.26,-1130.25,-0.34
252,66.84,0.33,0.8,49.96,15.31,-1217.08,-0.05
253,65.34,0.53,0.8,56.99,29.26,-97.09,2.89
254,64.87,0.37,0.8,54.87,13.65,57.08,10.19
255,30.73,0.64,0.8,56.13,16.17,24.55,11.52
256,72.89,0.48,0.8,32.85,12.59,-1105.11,-0.28
257,62.14,0.58,0.8,71.53,17.62,52.5,11.52
258,37.89,0.65,0.8,63.04,15.96,30.93,11.52
259,66.45,0.35,0.8,52.15,20.44,-1156.12,-0.02
260,65.58,0.4,0.8,54.32,19.89,-88.62,2.98
261,36.12,0.7,0.8,42.87,6.99,29.33,11.52
262,71.17,0.48,0.8,38.84,18.54,-1096.1,-0.13
263,47.85,0.66,0.8,66.61,14.92,39.78,11.52
264,53.23,0.49,0.8,76.67,25.27,44.54,11.52
265,79.08,0.59,0.8,94.25,21.47,-1075.79,-0.06
266,27.76,0.55,0.8,47.3,16.48,21.92,11.52
267,66.18,0.29,0.8,51.47,13.93,-14.65,4.0
268,46.36,0.71,0.8,80.45,16.75,38.48,11.52
269,51.03,0.49,0.8,89.49,29.06,42.64,11.52
270,34.31,0.68,0.8,51.73,12.25,27.76,11.52
271,76.54,0.55,0.8,76.45,17.04,-1099.07,-0.55
272,69.45,0.49,0.8,44.07,21.09,-1140.31,-0.07
273,47.84,0.66,0.8,78.21,19.19,39.75,11.52
274,48.41,0.73,0.8,66.79,12.12,40.31,11.52
275,70.41,0.35,0.8,40.01,14.01,-1097.14,-0.04
276,69.8,0.41,0.8,42.87,19.65,-1101.24,-0.23
277,44.48,0.58,0.8,71.91,21.28,36.79,11.52
278,26.33,0.89,0.8,62.7,7.55,20.66,11.52
279,66.14,0.45,0.8,53.15,21.57,-189.17,2.19
280,45.36,0.7,0.8,91.75,22.0,37.55,11.52
281,69.5,0.33,0.8,41.19,8.33,-223.05,1.99
282,40.77,0.76,0.8,56.89,8.23,33.49,11.52
283,75.66,0.84,0.8,99.24,12.44,-1128.04,-0.08
284,60.86,0.65,0.8,65.84,13.21,51.35,11.52
285,61.4,0.6,0.8,92.47,22.98,51.86,11.52
286,63.22,0.22,0.8,59.84,15.3,3.76,4.44
287,64.85,0.61,0.8,77.91,17.56,54.87,11.52
288,63.98,0.45,0.8,66.31,21.86,56.76,5.76
289,72.01,0.43,0.8,36.44,17.7,-1083.81,-0.1
290,72.16,0.52,0.8,35.49,15.75,-1144.3,-0.26
291,47.85,0.6,0.8,66.35,17.46,39.77,11.52
292,41.25,0.68,0.8,60.43,13.51,33.92,11.52
293,69.13,0.54,0.8,65.3,15.63,-2.17,4.2
294,68.55,0.33,0.8,44.61,12.07,-296.3,1.6
295,54.92,0.42,0.8,65.52,23.86,46.07,11.52
296,39.94,0.55,0.8,58.4,19.17,32.75,11.52
297,74.46,0.61,0.8,30.52,21.58,-1100.17,-0.38
298,70.26,0.29,0.8,39.95,11.79,-1110.72,-0.11
299,35.03,0.65,0.8,40.25,9.26,28.41,11.52
300,67.79,0.57,0.8,49.08,23.83,-171.2,2.29
301,57.52,0.52,0.8,91.84,27.84,48.35,11.52
302,33.04,0.73,0.8,53.63,10.35,26.65,11.52
