Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
138,27.06,0.49,0.8,55.67,19.43,-287.55,81.99
139,27.18,0.45,0.8,39.43,28.04,-266.31,80.65
140,49.56,0.67,0.8,47.29,10.1,-13,34.37
141,35.36,0.53,0.8,49.74,11.3,-229.85,68.66
142,29.36,0.71,0.8,71.79,20.3,-257.18,75.12
143,42.72,0.76,0.8,65.1,8.52,-110.04,49.78
144,39.56,0.58,0.8,40.48,15.26,-117.2,60.19
145,34.29,0.81,0.8,62.17,17.27,-203.5,71.72
146,38.41,0.72,0.8,40.97,15.95,-131.51,61.33
147,39.8,0.6,0.8,51.53,15.04,-135.93,56.76
148,45.33,0.59,0.8,61.1,7.4,-44.08,43
149,45.7,0.66,0.8,56.93,11.45,-57.3,39.71
150,40.55,0.57,0.8,77.64,5.68,-111.89,54.64
151,31.18,0.71,0.8,60.97,12.46,-209.35,71.93
152,49.99,0.59,0.8,62.64,18.39,6.12,26.34
153,36.26,0.71,0.8,75.46,12.07,-163.03,63.72
154,34.13,0.58,0.8,60.83,12.31,-220.87,67.96
155,48.02,0.7,0.8,46.84,12.46,-17.33,29.98
156,27.52,0.57,0.8,32.39,12.72,-256.57,80.04
157,38.91,0.68,0.8,36.95,4.93,-127.64,55.96
158,36.3,0.35,0.8,56.45,6.44,-236.58,69.2
159,45.84,0.5,0.8,57.44,13.35,-52.92,39.21
160,34.56,0.62,0.8,43.85,22.54,-228,68.5
161,30.54,0.64,0.8,44.46,15.1,-285.98,77.06
162,55.07,0.61,0.8,58.12,24.34,41.35,13.51
163,32.67,0.71,0.8,43.37,10.49,-194.19,70.96
164,42.34,0.6,0.8,44.05,22.3,-100.91,48.87
165,26.69,0.42,0.8,43.25,15.18,-324.71,79.28
166,43.38,0.6,0.8,36.6,10.07,-93.54,48.24
167,34.27,0.67,0.8,56.76,20.15,-236.12,69.06
168,31.38,0.71,0.8,55.97,14.53,-235.3,73.76
169,21.74,0.75,0.8,39.93,11.01,-344.35,85.12
170,40.99,0.5,0.8,68.6,16.64,-74.16,46.01
171,43.03,0.57,0.8,47.5,18.91,-28.92,40.91
172,41.65,0.53,0.8,49.58,14.25,-124.94,55.94
173,45.4,0.72,0.8,45.4,19.32,-83.92,47.44
174,19.87,0.72,0.8,38.03,17.39,-372.7,91.69
175,35.48,0.53,0.8,71.65,19.56,-110.03,54.09
176,34.42,0.77,0.8,54.56,9.66,-246.27,69.76
177,25.48,0.68,0.8,49.05,15.39,-298.49,82.55
178,40.78,0.64,0.8,69.28,18.61,-64.47,50.03
179,38.1,0.74,0.8,65.91,20.55,-146.65,57.53
180,27.43,0.51,0.8,42.62,23.63,-314.04,78.65
181,37.01,0.84,0.8,41.97,12.64,-118.99,60.14
182,35.74,0.38,0.8,57.46,9.25,-213.39,67.5
183,30.39,0.61,0.8,27.72,15.47,-265.48,75.73
184,38.89,0.59,0.8,51.1,22.1,-143.98,57.38
185,33.84,0.6,0.8,59.31,9.22,-198.38,71.34
186,32.14,0.51,0.8,49.08,10.98,-224.42,73.06
187,29.26,0.5,0.8,37.12,12.91,-253.22,74.84
188,27.74,0.59,0.8,33.78,20.82,-333.63,79.88
189,34.13,0.84,0.8,23.79,16.83,-232.78,68.81
190,36.7,0.64,0.8,55.89,11.58,-130.01,61.06
191,20.1,0.6,0.8,47.45,7.67,-376.24,86.88
192,38.93,0.52,0.8,55.02,23.75,-44.59,42.4
193,45.02,0.57,0.8,73.95,14.43,-26.35,40.75
194,26.95,0.75,0.8,46.61,10.35,-286.11,81.9
195,31.31,0.6,0.8,54.27,17.97,-244.56,74.37
