Episode,Kick_Speed,friction_patch,default_friction,loc_patch,size_patch,Rewards,Stop_Distance
187,62.39,0.47,0.8,58.05,15.25,52.7,11.52
188,57.23,0.43,0.8,42.13,11.04,48.11,11.52
189,60.36,0.46,0.8,40.05,19.15,50.88,11.52
190,53.97,0.04,0.8,43.41,12.14,45.26,11.52
191,60.3,0.37,0.8,56.75,20.53,50.86,11.52
192,74.9,0.37,0.8,49.98,19.86,-1082.28,-0.09
193,30.16,0.47,0.8,49.67,5.05,24.08,11.52
194,58.47,0.46,0.8,58.09,19.51,49.25,11.52
195,55.87,0.48,0.8,49.69,23.38,46.93,11.52
196,62.7,0.43,0.8,56.08,20.36,52.97,11.52
197,40.02,0.2,0.8,49.29,17.64,32.85,11.52
198,56.57,0.4,0.8,59.2,23.46,47.52,11.52
199,44.97,0.55,0.8,52.23,14.88,37.21,11.52
200,56.58,0.37,0.8,56.28,23.15,47.56,11.52
201,69.83,0.47,0.8,78.38,25.04,-1108.13,-0.28
202,71.81,0.51,0.8,49.58,20.24,-1099.16,-0.28
203,70.37,0.46,0.8,52.91,20.77,-1119.6,-0.4
204,35.3,0.8,0.8,73.49,14.73,28.64,11.52
205,58.61,0.47,0.8,74.85,22.21,49.34,11.52
206,65.0,0.52,0.8,51.32,22.29,57.25,9.13
207,57.99,0.39,0.8,55.29,20.28,48.78,11.52
208,57.6,0.59,0.8,46.94,14.38,48.47,11.52
209,60.75,0.58,0.8,55.19,19.87,51.27,11.52
210,77.96,0.26,0.8,47.17,15.05,-1085.78,-0.08
211,69.7,0.47,0.8,81.15,25.5,-1120.16,-0.36
212,34.87,0.7,0.8,48.74,18.11,28.26,11.52
213,63.6,0.52,0.8,34.09,21.22,53.76,11.52
214,53.62,0.64,0.8,52.66,18.61,44.88,11.52
215,56.97,0.42,0.8,53.28,21.74,47.89,11.52
216,54.66,0.64,0.8,57.04,16.91,45.85,11.52
217,55.65,0.5,0.8,56.89,25.43,46.7,11.52
218,70.08,0.61,0.8,45.02,21.34,-620.25,0.64
219,67.18,0.44,0.8,45.55,22.37,-1134.37,-0.06
220,69.04,0.45,0.8,48.95,16.51,-1247.54,-0.08
221,55.62,0.3,0.8,53.72,14.72,46.7,11.52
222,57.11,0.5,0.8,52.37,22.79,48.01,11.52
223,53.35,0.45,0.8,43.88,16.7,44.7,11.52
224,55.97,0.53,0.8,53.76,28.14,47.01,11.52
225,34.76,0.75,0.8,70.49,14.41,28.16,11.52
226,57.6,0.56,0.8,51.71,28.13,48.45,11.52
227,79.12,0.45,0.8,47.66,20.95,-1102.06,-0.62
228,53.63,0.54,0.8,51.72,9.7,44.89,11.52
229,65.28,0.48,0.8,45.36,24.47,57.92,6.49
230,51.95,0.59,0.8,50.28,24.75,43.44,11.52
231,59.18,0.44,0.8,63.43,20.56,49.83,11.52
232,78.36,0.6,0.8,42.21,13.63,-1083.47,-0.23
233,56.52,0.57,0.8,82.7,22.29,47.52,11.52
234,59.96,0.4,0.8,53.37,25.58,50.58,11.52
235,65.31,0.17,0.8,47.92,28.45,-1094.7,-0.25
236,62.93,0.55,0.8,55.14,11.99,53.2,11.52
237,67.91,0.56,0.8,54.27,17.44,60.13,6.34
238,51.69,0.45,0.8,64.61,21.49,43.21,11.52
239,56.95,0.44,0.8,57.12,27.45,47.87,11.52
240,78.17,0.32,0.8,41.71,23.11,-1096.27,-0.24
241,71.97,0.4,0.8,46.31,11.89,-1117.18,-0.32
242,65.31,0.43,0.8,47.69,19.9,57.63,6.85
243,56.95,0.45,0.8,57.76,18.97,47.88,11.52
244,67.35,0.43,0.8,40.0,24.4,-1111.83,-0.2
245,33.91,0.47,0.8,52.08,12.14,27.41,11.52
246,60.25,0.54,0.8,56.2,18.05,50.83,11.52
247,77.73,0.4,0.8,94.61,29.97,-1099.79,-0.56
248,60.54,0.46,0.8,51.52,27.93,51.06,11.52
249,59.06,0.4,0.8,61.55,16.52,49.74,11.52
250,59.67,0.36,0.8,41.69,26.02,52.46,8.45
251,59.59,0.59,0.8,47.58,25.56,50.24,11.52
